t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet1,Qhc,Qpipe,Qet2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
15630,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15631,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15632,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15633,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15634,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15635,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15636,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15637,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15638,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15639,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15640,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15641,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15642,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15643,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15644,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
15645,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.2005334619999999,0.4,0,0,0.0,0.0,0.5898042999999997,0.4,0.1,0.4,0.34,0.1
