t,Qin,Qet,hpEND,Qpf,Qover,Qfs,Qet_1,Qhc,Qpipe,Qet_2,teta_usz,teta_sz,Qrain,Qinfp,Qinfsz,hp,s,husz,hsz,nsz,nusz,hszEST
63,0.0,0.0,0.16249775403811284,0.00012899141170985716,0,0.00012799453370559267,0.0,0.0,0.00012799453370559264,0.0,0.3417604292824841,0.4,0,0,0.0,0.16765741050650712,0.9709103104616026,0.5,3.4622471719019526e-18,0.4,0.35200000000000004,0.012799453370559264
64,0.0,0.0,0.1573779713949063,0.00012799456608016338,0,0.00012700540232192753,0.0,0.0,0.00012700540232192756,0.0,0.34183956238314306,0.4,0,0,0.0,0.16249775403811284,0.9711351204066563,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012700540232192756
65,0.0,0.0,0.15229775443196647,0.00012700542407349588,0,0.00012602391148812845,0.0,0.0,0.00012602391148812845,0.0,0.3419180833899725,0.4,0,0,0.0,0.1573779713949063,0.9713581914487854,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012602391148812843
66,0.0,0.0,0.14725679738571623,0.00012602392615625592,0,0.0001250500033274594,0.0,0.0,0.0001250500033274594,0.0,0.3419959972162762,0.4,0,0,0.0,0.15229775443196647,0.9715795375462392,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.01250500033274594
67,0.0,0.0,0.14225479685551942,0.00012505001325492036,0,0.0001240836200093292,0.0,0.0,0.00012408362000932923,0.0,0.3420733086759235,0.4,0,0,0.0,0.14725679738571623,0.9717991723747826,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.012408362000932921
68,0.0,0.0,0.13729145178541996,0.00012408362675248635,0,0.00012312470388838956,0.0,0.0,0.00012312470388838956,0.0,0.3421500225050513,0.4,0,0,0.0,0.14225479685551942,0.9720171093893502,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.012312470388838955
69,0.0,0.0,0.13236646344602224,0.00012312470848494314,0,0.00012217319759344236,0.0,0.0,0.00012217319759344234,0.0,0.3422261433763713,0.4,0,0,0.0,0.13729145178541996,0.9722333618646911,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012217319759344232
70,0.0,0.0,0.12747953541651139,0.00012217320073777148,0,0.00012122904408406339,0.0,0.0,0.00012122904408406336,0.0,0.342301675908668,0.4,0,0,0.0,0.13236646344602224,0.9724479429223521,0.5,3.4622471719019526e-18,0.4,0.35200000000000004,0.012122904408406337
71,0.0,0.0,0.12263037356681258,0.00012122904624246998,0,0.00012029218668638141,0.0,0.0,0.00012029218668638143,0.0,0.3423766246731551,0.4,0,0,0.0,0.12747953541651139,0.972660865548736,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.012029218668638143
72,0.0,0.0,0.11781868603988825,0.00012029218817310818,0,0.00011936256911535108,0.0,0.0,0.00011936256911535108,0.0,0.3424509941977757,0.4,0,0,0.0,0.12263037356681258,0.9728721426073171,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.011936256911535107
73,0.0,0.0,0.113044183234172,0.00011936257014290638,0,0.00011844013548825313,0.0,0.0,0.00011844013548825316,0.0,0.342524788970148,0.4,0,0,0.0,0.11781868603988825,0.9730817868470113,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.011844013548825314
74,0.0,0.0,0.10830657778613831,0.00011844013620084201,0,0.00011752483033247073,0.0,0.0,0.0001175248303324707,0.0,0.3425980134396177,0.4,0,0,0.0,0.113044183234172,0.9732898109080047,0.5,7.5174174068819155e-19,0.4,0.35200000000000004,0.011752483033247071
75,0.0,0.0,0.10360558455300703,0.0001175248308282819,0,0.00011661659858952496,0.0,0.0,0.00011661659858952495,0.0,0.34267067201871837,0.4,0,0,0.0,0.10830657778613831,0.9734962273259044,0.5,2.106994456295072e-18,0.4,0.35200000000000004,0.011661659858952496
76,0.0,0.0,0.09894092059558139,0.00011661659893564095,0,0.00011571538561666318,0.0,0.0,0.00011571538561666322,0.0,0.34274276908423656,0.4,0,0,0.0,0.10360558455300703,0.9737010485347629,0.5,-1.9587636905255695e-18,0.4,0.35200000000000004,0.01157153856166632
